Biodiversity _Header,,,,,,,,
FILE_SPECIFICATION=,,,,,,,,
PROJECT_DESCRIPTION=Biodiversity trawl survey for the Passamaquoddy Bay and Fundy Isles area,,,,,,,,
PLATFORM=CCGS Viola M Davidson,,,,,,,,
DATA_TYPE=Catch data,,,,,,,,
"VARIABLES,",,,,,,,,
MISSION=Unique mission identification code for each trawl year,,,,,,,,
SPECIES_CODE=Numerical species identification code,,,,,,,,
SETNO=Unique identification code for each set within a trawl year,,,,,,,,
SCIENTIFIC_NAME=Identification to lowest taxon level,,,,,,,,
COMMON_NAME=Common name for each species,,,,,,,,
NUMBER_CAUGHT=Total number of individuals caught,,,,,,,,
BIOMASS=Total biomass of individual species captured in grams,,,,,,,,
COMMENTS,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MISSION,SPECIES_CODE,STATION,SETNO,SCIENTIFIC_NAME,COMMON_NAME,NUMBER_CAUGHT,BIOMASS,COMMENTS
BOF2011001,,B,2011.001,Alosa pseudoharengus,alewife,122,10831,
BOF2011001,,B,2011.001,Alosa sapidissima,shad,8,625,
BOF2011001,,B,2011.001,Asterias vulgaris,northern sea star,5,630,
BOF2011001,,B,2011.001,Aurelia aurita,moon jelly,2,40,
BOF2011001,,B,2011.001,Clupea harengus,herring,142,4788,
BOF2011001,,B,2011.001,Ctenodiscus crispatus,mud star,4,4,
BOF2011001,,B,2011.001,Cucumaria frondosa,orange-footed sea cucumber,4,1650,
BOF2011001,,B,2011.001,Glyptocephalus cynoglossus,witch flounder,1,13,
BOF2011001,,B,2011.001,Hippoglossoides platessoides,American plaice,1,77,
BOF2011001,,B,2011.001,Homarus americanus,American lobster,76,37188,
BOF2011001,,B,2011.001,Doryteuthis pealeii,longfin inshore squid,3,76,
BOF2011001,,B,2011.001,Isodictya palmata,palmate sponge,1,281,
BOF2011001,,B,2011.001,Leucoraja erinacea,little skate,1,850,
BOF2011001,,B,2011.001,Lunatia heros,northern moon snail,1,68,
BOF2011001,,B,2011.001,Merluccius bilinearis,silver hake,50,2824,
BOF2011001,,B,2011.001,Myoxocephalus octodecemspinosus,longhorn sculpin,39,7585,
BOF2011001,,B,2011.001,Osmerus mordax,smelt,100,3648,
BOF2011001,,B,2011.001,Pandalus borealis,northern shrimp,3104,41750,
BOF2011001,,B,2011.001,Peprilus triacanthus,butterfish ,6,211,
BOF2011001,,B,2011.001,Placopecten magellanicus,deep sea scallop,4,15,
BOF2011001,,B,2011.001,Pseudopleuronectes americanus,winter flounder,156,14131,
BOF2011001,,B,2011.001,Scophthalmus aquosus,windowpane flounder,2,322,
BOF2011001,,B,2011.001,Urophycis tenuis,white hake,8,372,
BOF2011001,,C,2011.002,Alosa pseudoharengus,alewife,2,136,
BOF2011001,,C,2011.002,Asterias vulgaris,northern sea star,13,684,
BOF2011001,,C,2011.002,Aurelia aurita,moon jelly,1,89,
BOF2011001,,C,2011.002,Clinocardium ciliatum,Iceland cockle,1,10,
BOF2011001,,C,2011.002,Clupea harengus,herring,408,14770,
BOF2011001,,C,2011.002,Ctenodiscus crispatus,mud star,6,45,
BOF2011001,,C,2011.002,Cuaudina arenata,rat-tailed sea cucumber,1,25,
BOF2011001,,C,2011.002,Cucumaria frondosa,orange-footed sea cucumber,1,280,
BOF2011001,,C,2011.002,Phaeophyta,Phaeophyta,1,27,
BOF2011001,,C,2011.002,Henricia sanguinolenta,blood star,1,11,
BOF2011001,,C,2011.002,Homarus americanus,American lobster,41,20362,
BOF2011001,,C,2011.002,Isodictya palmata,palmate sponge,7,501,
BOF2011001,,C,2011.002,Leucoraja erinacea,little skate,4,1850,
BOF2011001,,C,2011.002,Melanogrammus aeglefinus,haddock,10,75,
BOF2011001,,C,2011.002,Mercenaria mercenaria,quahog,1,20,
BOF2011001,,C,2011.002,Merluccius bilinearis,silver hake,24,1269,
BOF2011001,,C,2011.002,Metridium senile,frilled anemone,8,198,
