"ID","Pressure (Decibar)","Depth (Meter)","Temperature (Celsius)","Conductivity (MicroSiemens per Centimeter)","Specific conductance (MicroSiemens per Centimeter)","Salinity (Practical Salinity Scale)","Sound velocity (Meters per Second)","Density (Kilograms per Cubic Meter)"
1,0.15,0.149475408430601,13.3934971963546,37347.9120279597,48638.3303882848,31.2479790937233,1497.07003475792,1023.41230966245
1,0.45,0.448314048276839,12.4743966092509,37393.146079785,49891.5919443439,32.0590893458522,1494.94221709422,1024.21941339537
1,0.75,0.74702777358439,12.3844175338745,37336.9140625,49936.4662143907,32.0821279346974,1494.6682761116,1024.25567991092
1,1.05,1.04573691220472,12.3717889785767,37314.734375,49923.6662130232,32.0715978017148,1494.61765307229,1024.25125658548
1,1.35,1.3444450366908,12.348747253418,37302.4375,49938.0036054439,32.0794204960059,1494.55333755385,1024.26302429151
1,1.65,1.64315177064234,12.3352079391479,37282.7109375,49929.6950458485,32.072004899567,1494.50326982335,1024.26118222664
1,1.95,1.94185763764989,12.3225421905518,37277.49609375,49939.6529628505,32.0777290297488,1494.47180516274,1024.2693593316
1,2.25,2.24056117668136,12.3098764419556,37272.28125,49949.6176407686,32.0834555953329,1494.44033092887,1024.2775371419
1,2.55,2.53926586049035,12.2908020019531,37227.64453125,49915.3176288622,32.0569054868965,1494.34852721945,1024.26189796287
1,2.85,2.83797135169955,12.2641892433167,37209.56640625,49926.7086736948,32.0622379349742,1494.26887984662,1024.27238941563
1,3.15,3.13667384079444,12.2375764846802,37191.48828125,49938.1160003134,32.0675724415526,1494.18917621687,1024.28287627064
1,3.45,3.43536958782445,12.2152233123779,37212.765625,49996.6980080204,32.107031433351,1494.16464927007,1024.31901876874
1,3.75,3.73406961291447,12.207124710083,37114.34375,49875.3182880887,32.0193859076361,1494.03744975189,1024.25392667787
1,4.05,4.03276933865144,12.086012840271,37064.875,49971.5016003985,32.0755493011762,1493.69408273927,1024.32146150495
1,4.35,4.33145717526701,12.0634288787842,37056.68359375,49990.9003494304,32.0869437202667,1493.6350510834,1024.3358564714
1,4.65,4.63014087076318,12.0408449172974,37048.4921875,50010.3227534627,32.0983473045043,1493.57599130556,1024.35025474457
1,4.95,4.92882030634185,12.0098648071289,37031.8046875,50029.6405843218,32.1087937595765,1493.48687016504,1024.36546538682
1,5.25,5.22749851858705,12.0003604888916,37010.6953125,50013.9658417808,32.0964902781068,1493.44442810497,1024.35903537236
1,5.55,5.52617550827051,11.9517135620117,36973.890625,50030.0081658609,32.1027299316519,1493.28932610617,1024.37424097871
1,5.85,5.82484876145663,11.9328756332397,36965.189453125,50043.7466881893,32.1104339364808,1493.23855592921,1024.38505514491
1,6.15,6.12351891830768,11.9140377044678,36956.48828125,50057.4992325712,32.118142589404,1493.18776327582,1024.39587014953
1,6.45,6.42218490024236,11.9032888412476,36966.8515625,50086.1206727751,32.1373123214083,1493.17853950787,1024.41408376294
1,6.75,6.7208527454588,11.8867883682251,36905.625,50025.5330331105,32.0922094007082,1493.07266434638,1024.38347823229
1,7.05,7.01952197063377,11.8578071594238,36899.67578125,50056.7974942799,32.1113259166937,1493.0004057506,1024.40500692738
1,7.35,7.31818497424934,11.8288259506226,36893.7265625,50088.1111604867,32.1304643266038,1492.92811178441,1024.42654683338
1,7.65,7.61684347976153,11.802921295166,36875.53125,50098.6469990407,32.135094282935,1492.84904433142,1024.43625380109
1,7.95,7.91549865034925,11.7787981033325,36864.484375,50116.4886783776,32.1451177280704,1492.78253565637,1024.44981500789
